"ΘΕΣΣΑΛΟΝΙΚΗΣ
325.182","317.778","148.470","145.087","176.712","172.691"
"ΑΜΠΕΛΟΚΗΠΩΝ -  
52.127
ΜΕΝΕΜΕΝΗΣ","49.674","24.721","23.243","27.406","26.431"
"ΒΟΛΒΗΣ
23.478","19.812","11.742","9.726","11.736","10.086"
"ΔΕΛΤΑ
45.839","45.628","22.829","22.713","23.010","22.915"
"ΘΕΡΜΑΪΚΟΥ
50.264","45.450","24.777","21.980","25.487","23.470"
"ΘΕΡΜΗΣ
53.201","55.238","26.137","26.957","27.064","28.281"
"ΚΑΛΑΜΑΡΙΑΣ
91.518","92.238","43.169","43.224","48.349","49.014"
"ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ
101.753","105.426","49.613","50.985","52.140","54.441"
"ΛΑΓΚΑΔΑ
41.103","37.072","20.358","18.277","20.745","18.795"
"ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ
84.741","80.851","40.406","38.330","44.335","42.521"
"ΠΑΥΛΟΥ ΜΕΛΑ
99.245","99.969","48.337","48.184","50.908","51.785"
"ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ
70.110","72.223","34.296","34.860","35.814","37.363"
"ΧΑΛΚΗΔΟΝΟΣ
33.673","29.951","16.755","14.718","16.918","15.233"
"ΩΡΑΙΟΚΑΣΤΡΟΥ
38.317","40.114","19.492","19.912","18.825","20.202"
